"","greedy","karmarkar-karp","RA"
"895",32,26,30
"896",32,26,30
"897",32,26,36
"898",32,26,38
"899",32,26,68
"900",32,26,24
"901",32,26,36
"902",32,26,26
"903",32,26,36
"904",32,26,22
"905",32,26,32
"906",32,26,32
"907",32,26,30
"908",32,26,30
"909",32,26,26
"910",32,26,32
"911",32,26,38
"912",32,26,36
"913",32,26,22
"914",32,26,32
"915",32,26,0
"916",32,26,18
"917",32,26,32
"918",32,26,30
"919",32,26,26
"920",32,26,32
"921",32,26,36
"922",32,26,68
"923",32,26,26
"924",32,26,32
"925",32,26,32
"926",32,26,26
"927",32,26,30
"928",32,26,68
"929",32,26,24
"930",32,26,410
"931",32,26,24
"932",32,26,0
"933",32,26,0
"934",32,26,38
"935",32,26,30
"936",32,26,32
"937",32,26,24
"938",32,26,472
"939",32,26,32
"940",32,26,38
"941",32,26,204
"942",32,26,30
"943",32,26,18
"944",32,26,30
"945",32,26,32
"946",32,26,0
"947",32,26,30
"948",32,26,26
"949",32,26,30
"950",32,26,32
"951",32,26,18
"952",32,26,18
"953",32,26,36
"954",32,26,36
"955",32,26,30
"956",32,26,38
"957",32,26,24
"958",32,26,204
"959",32,26,472
"960",32,26,204
"961",32,26,32
"962",32,26,38
"963",32,26,32
"964",32,26,44
"965",32,26,204
"966",32,26,26
"967",32,26,32
"968",32,26,26
"969",32,26,204
"970",32,26,68
"971",32,26,30
"972",32,26,62
"973",32,26,36
"974",32,26,30
"975",32,26,204
"976",32,26,18
"977",32,26,32
"978",32,26,30
"979",32,26,36
"980",32,26,204
"981",32,26,30
"982",32,26,74
"983",32,26,26
"984",32,26,38
"985",32,26,36
"986",32,26,228
"987",32,26,38
"988",32,26,62
"989",32,26,32
"990",32,26,30
"991",32,26,30
"992",32,26,30
"993",32,26,410
"994",32,26,22
"995",32,26,0
"996",32,26,24
"997",32,26,26
"998",32,26,30
"999",32,26,24
"1000",32,26,22
